gia,dientich,kieunha,tang,phongngu,phongwc,phaply,linkweb,duong,xa,quan,thanhpho
5200.0,120.0,Nhà mặt phố,1,1,1,Tiề,https://batdongsan.com.vn/ban-nha-mat-pho-duong-le-van-khuong-xa-dong-thanh/-tien-hoc-mon-dan-cu-hien-huu-62m-tho-cu-chi-5ty2-qua-re-pr38802428,Đường Lê Văn Khương,Xã  Đông Thạnh,Hóc Môn,Hồ Chí Minh
31000.0,100.0,Nhà mặt phố,6,0,0,Sổ đỏ/ Sổ hồng,https://batdongsan.com.vn/ban-nha-mat-pho-duong-tran-hung-dao-phuong-7-4/ngop-bank-can-tien-ban-lo-10-ty-tien-ngay-dt-8x15m-6-tang-gia-31-ty-tl-pr39029598,Đường Trần Hưng Đạo,Phường 7,Quận 5,Hồ Chí Minh
4900.0,20.0,Nhà riêng,4,3,0,Sổ đỏ/ Sổ hồng,https://batdongsan.com.vn/ban-nha-rieng-duong-cong-quynh-phuong-nguyen-cu-trinh/-ban-25-31a-quan-1-pr38847234,Đường Cống Quỳnh,Phường Nguyễn Cư Trinh,Quận 1,Hồ Chí Minh
5350.0,48.0,Nhà riêng,2,3,2,Sổ đỏ/ Sổ hồng,https://batdongsan.com.vn/ban-nha-rieng-duong-to-hieu-phuong-hiep-tan/-ban-nh-dip-tet-dep-tret-2-lau-btct-pr39023403,Đường Tô Hiệu,Phường Hiệp Tân,Tân Phú,Hồ Chí Minh
33500.0,110.0,Nhà mặt phố,4,6,0,,https://batdongsan.com.vn/ban-nha-mat-pho-duong-41-1-phuong-tan-phong-9/-kinh-doanh-sat-phu-my-hung-q7-gia-36ty-pr38104610,Đường 41,Phường Tân Phong,Quận 7,Hồ Chí Minh
36000.0,513.0,Nhà riêng,0,10,10,Sổ đỏ/ Sổ hồng,https://batdongsan.com.vn/ban-nha-rieng-duong-xo-viet-nghe-tinh-phuong-26/ban-p26-binh-thanh-dt-12-5mx43m-dtcn-513m2-tret-lau-cap-4-gia-36-ty-tl-pr39029641,36a Đường Xô Viết Nghệ Tĩnh,Phường 26,Bình Thạnh,Hồ Chí Minh
21000.0,80.0,Nhà mặt phố,3,4,4,,https://batdongsan.com.vn/ban-nha-mat-pho-duong-le-van-sy-phuong-14-9/goc-2mt-p14-phu-nhuan-dt-8x10m-2-lau-gia-21-ty-chot-pr38941289,Đường Lê Văn Sỹ,Phường 14,Phú Nhuận,Hồ Chí Minh
8900.0,71.7,Nhà mặt phố,3,5,6,Sổ hồng,https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-van-vinh-phuong-hiep-tan/can-ban-gap-can-goc-2-tien-re-t-phu-pr39028953,Đường Nguyễn Văn Vịnh,Phường Hiệp Tân,Tân Phú,Hồ Chí Minh
6300.0,65.0,Nhà riêng,2,3,2,Sổ đỏ/ Sổ hồng,https://batdongsan.com.vn/ban-nha-rieng-duong-tran-van-quang-phuong-10-10/chu-ngop-ha-ban-6-3-ty-tl-ban-hxh-66-51-p10-tb-dt-5x13-tret-lau-sieu-dep-pr38974638,Đường Trần Văn Quang,Phường 10,Tân Bình,Hồ Chí Minh
75000.0,195.0,"Nhà biệt thự, liền kề",4,4,5,Sổ đỏ/ Sổ hồng.,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-tan-phu-19-prj-biet-thu-lau-dai-chateau/ban-vip-7-5x26m2-xay-dung-1-tret-3-429m2-4pn-5wc-so-hong-gia-75-ty-thuong-luong-pr39028737,Dự án Biệt thự Chateau,Phường Tân Phú,Quận 7,Hồ Chí Minh
3650.0,40.0,Nhà riêng,2,2,2,Sổ đỏ/ Sổ hồng.,https://batdongsan.com.vn/ban-nha-rieng-duong-tran-thu-do-phuong-phu-thanh/-mat-tien-4-x10-2-tang-btct-so-no-hau-3-ty-650-tl-pr38905728,Đường Trần Thủ Độ,Phường Phú Thạnh,Tân Phú,Hồ Chí Minh
1850.0,30.0,Nhà riêng,2,2,2,Sổ đỏ/ Sổ hồng,https://batdongsan.com.vn/ban-nha-rieng-duong-phan-van-khoe-phuong-5-10/-ngop-q6-2-tang-sat-mat-tien-ngop-3-x8-so-1-ty-850-pr38962553,Đường Phan Văn Khỏe,Phường 5,Quận 6,Hồ Chí Minh
7300.0,72.0,Nhà riêng,5,5,6,Sổ đỏ/ Sổ hồng,https://batdongsan.com.vn/ban-nha-rieng-duong-tan-hoa-dong-phuong-binh-tri-dong/ban-mtkd-dt-4m-x-18m-lo-nhua-8m-thong-1-lung-3-lau-gara-xe-hoi-trong-pr38932533,Đường Tân Hòa Đông,Phường Bình Trị Đông,Bình Tân,Hồ Chí Minh
3700.0,30.0,Nhà riêng,2,2,2,Sổ đỏ/ Sổ hồng,https://batdongsan.com.vn/ban-nha-rieng-duong-dong-den-phuong-12-10/gia-chi-3-9-ty-hem-dt-3-1x10-1-lau-2pn-pr38903784,Đường Đồng Đen,Phường 12,Tân Bình,Hồ Chí Minh
12500.0,60.0,Nhà riêng,2,0,0,,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-cu-trinh-phuong-nguyen-cu-trinh/chinh-chu-ban-gap-goc-2-mat-tien-ngay-q-1-ngang-10m-12-5-ty-pr38907070,Đường Nguyễn Cư Trinh,Phường Nguyễn Cư Trinh,Quận 1,Hồ Chí Minh
550000.0,540.0,Nhà mặt phố,0,0,0,Sổ đỏ/ Sổ hồng,https://batdongsan.com.vn/ban-nha-mat-pho-pho-phan-dang-luu-phuong-6-17/thien-chi-ban-gap-toa-goc-2mat-tien-lam-son-12tang-22-25m-550ty-lh-pr39025175,Phố Phan Đăng Lưu,Phường 6,Phú Nhuận,Hồ Chí Minh
7500.0,70.0,Nhà mặt phố,4,6,7,,https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-duy-trinh-phuong-binh-trung-tay/chinh-chu-ban-tien-ngang-7m-ngay-cc-homyland-q-2-7-5-ty-pr39025159,Đường Nguyễn Duy Trinh,Phường Bình Trưng Tây,Quận 2,Hồ Chí Minh
9000.0,73.0,"Shophouse, nhà phố thương mại",7,4,3,Sổ đỏ/ Sổ hồng,https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-duong-vo-van-kiet-phuong-16-1/ban-mat-tien-kiet-pr37796088,Đường Võ Văn Kiệt,Phường 16,Quận 8,Hồ Chí Minh
15500.0,176.0,Nhà mặt phố,0,2,2,Sổ đỏ/ Sổ hồng,https://batdongsan.com.vn/ban-nha-mat-pho-duong-pham-dang-giang-phuong-binh-hung-hoa/ban-gap-tien-dt-6x28-hien-trang-cap-4-tien-xay-moi-ban-15-5-ty-pr39027149,Đường Phạm Đăng Giảng,Phường Bình Hưng Hòa,Bình Tân,Hồ Chí Minh
37800.0,155.0,Nhà mặt phố,7,8,8,Sổ đỏ/ Sổ hồng,https://batdongsan.com.vn/ban-nha-mat-pho-duong-song-nhue-phuong-2-22/sieu-hiem-building-van-phong-tien-khu-san-bay-p2-q-tan-binh-8-2x24m-ham-6-tang-1-000m2-san-pr39028036,Đường Sông Nhuệ,Phường 2,Tân Bình,Hồ Chí Minh
54000.0,160.0,Nhà mặt phố,3,3,3,Sổ đỏ/ Sổ hồng,https://batdongsan.com.vn/ban-nha-mat-pho-duong-bui-huu-nghia-phuong-5-9/kinh-doanh-vang-bac-da-quy-kim-cuong-xi-ma-khong-the-bo-lo-can-sieu-pham-nay-tai-cho-hoa-binh-pr38259740,Đường Bùi Hữu Nghĩa,Phường 5,Quận 5,Hồ Chí Minh
7000.0,45.0,Nhà mặt phố,6,4,3,Sổ đỏ/ Sổ hồng,https://batdongsan.com.vn/ban-nha-mat-pho-duong-an-duong-vuong-phuong-16-1/ban-trong-noi-thanh-sai-gon-pr37795778,Đường An Dương Vương,Phường 16,Quận 8,Hồ Chí Minh
24000.0,140.0,"Nhà biệt thự, liền kề",0,0,0,,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-quoc-lo-13-phuong-hiep-binh-phuoc-prj-khu-do-thi-van-phuc-city/-tho-vi-tri-dep-7x20m-ham-4-lau-so-hong-14m-gia-24-ty-thanh-toan-linh-hoat-city-pr38816018,Đường Quốc Lộ 13,Phường Hiệp Bình Phước,Thủ Đức,Hồ Chí Minh
46800.0,110.0,Nhà mặt phố,2,2,2,Sổ đỏ/ Sổ hồng,https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-trai-phuong-7-4/ban-tien-kd-thoi-trang-cao-cap-nhat-nhi-sai-gon-showroom-ngang-8m-danh-cho-thuong-hieu-cao-cap-pr36993311,Đường Nguyễn Trãi,Phường 7,Quận 5,Hồ Chí Minh
7320.0,75.0,"Nhà biệt thự, liền kề",2,4,4,Sổ hồng.,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-bung-ong-thoan-phuong-phu-huu-2-prj-park-riverside-tan-cang/ban-cho-thue-kdc-riverisde-nhieu-can-gia-tot-chinh-chu-pr38668444,Đường Bưng Ông Thoàn,Phường Phú Hữu,Quận 9,Hồ Chí Minh
2500.0,57.6,Nhà riêng,0,0,0,,https://batdongsan.com.vn/ban-nha-rieng-phuong-tan-chanh-hiep-1/chinh-chu-ban-hem-xe-hoi-q-12-pr37351410,,Phường Tân Chánh Hiệp,Quận 12,Hồ Chí Minh
30300.0,160.0,Nhà mặt phố,4,4,4,Sổ đỏ/ Sổ hồng,https://batdongsan.com.vn/ban-nha-mat-pho-duong-duong-duc-hien-phuong-tay-thanh/chinh-chu-vay-ngan-hang-can-ban-gap-mt-quan-tan-phu-7-5x24m-gia-cuc-re-pr38485371,Đường Dương Đức Hiền,Phường Tây Thạnh,Tân Phú,Hồ Chí Minh
27900.0,72.0,Nhà mặt phố,3,3,3,Sổ đỏ/ Sổ hồng,https://batdongsan.com.vn/ban-nha-mat-pho-duong-co-bac-phuong-cau-ong-lanh/ban-gap-mt-quan-1-4x18m-gia-re-hon-tien-quan-5-10-hoi-duy-t-voi-can-nay-pr38881123,Đường Cô Bắc,Phường Cầu Ông Lãnh,Quận 1,Hồ Chí Minh
7600.0,68.0,Nhà riêng,3,3,3,,https://batdongsan.com.vn/ban-nha-rieng-duong-huynh-van-banh-phuong-17-3/re-nhat-phu-nhuan-giap-quan-1-chi-7-6-ty-68m2-ngang-5-3m-3tang-khong-lg-khong-loi-pt-pr39026237,Đường Huỳnh Văn Bánh,Phường 17,Phú Nhuận,Hồ Chí Minh
5500.0,55.0,Nhà riêng,3,3,3,Sổ đỏ/ Sổ hồng,https://batdongsan.com.vn/ban-nha-rieng-duong-le-quang-dinh-phuong-11-7/-moi-tinh-don-tet-chi-5-5-ty-hon-50m2-3-mat-thoang-pr39027983,Đường Lê Quang Định,Phường 11,Bình Thạnh,Hồ Chí Minh
22000.0,109.0,Nhà riêng,0,0,0,Sổ đỏ/ Sổ hồng.,https://batdongsan.com.vn/ban-nha-rieng-duong-su-van-hanh-phuong-12-5/goc-2mt-hem-vip-12-quan-10-7-3-x18-vuong-vuc-4-lau-moi-gia-22-ty-thuong-luong-pr38270498,Đường Sư Vạn Hạnh,Phường 12,Quận 10,Hồ Chí Minh
7600.0,86.0,Nhà riêng,2,8,2,,https://batdongsan.com.vn/ban-nha-rieng-duong-pham-hung-phuong-9-8/ban-quan-8-1-lau-dt-4x21-5m-dep-co-ban-cong-pr35157197,Đường Phạm Hùng,Phường 9,Quận 8,Hồ Chí Minh
6500.0,70.0,Nhà riêng,4,4,4,Sổ hồng riêng,https://batdongsan.com.vn/ban-nha-rieng-duong-quoc-lo-13-phuong-hiep-binh-phuoc/chiet-khau-khung-5-day-dong-bo-duy-t-truc-13-gia-tu-5-ty-den-6-5-ty-0931082268-pr33636916,Đường Quốc Lộ 13,Phường Hiệp Bình Phước,Thủ Đức,Hồ Chí Minh
35000.0,250.0,"Nhà biệt thự, liền kề",0,0,0,,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-huu-tho-xa-phuoc-kieng-prj-zeitgeist-city/gio-hang-chuyen-nhuong-gs-metrocity-be-gia-tot-t-cap-t-moi-t-call-0909218885-pr30385457,Đường Nguyễn Hữu Thọ,Xã Phước Kiển,Nhà Bè,Hồ Chí Minh
199000.0,176.0,Nhà mặt phố,9,0,0,,https://batdongsan.com.vn/ban-nha-mat-pho-duong-truong-dinh-phuong-ben-thanh/ban-khach-san-tien-quan-1-dt-8x22m-ham-9-lau-43-phong-gia-199-ty-pr38990625,Đường Trương Định,Phường Bến Thành,Quận 1,Hồ Chí Minh
40000.0,75.0,Nhà mặt phố,0,0,0,Sổ đỏ/ Sổ hồng,https://batdongsan.com.vn/ban-nha-mat-pho-duong-bui-dinh-tuy-phuong-26/sieu-re-tien-vo-van-tan-doan-2-chieu-dien-tich-4-8x16m-kc-5t-hdt-120-trieu-gia-40-ty-pr39026361,Đường Bùi Đình Túy,Phường 26,Bình Thạnh,Hồ Chí Minh
5500.0,92.0,Nhà riêng,4,4,5,Sổ đỏ/ Sổ hồng,https://batdongsan.com.vn/ban-nha-rieng-duong-ho-van-long-phuong-tan-tao/ket-tien-ban-lo-can-moi-4x21-mat-tien-ngay-cho-co-san-xe-hoi-5m-pr39007090,Đường Hồ Văn Long,Phường Tân Tạo,Bình Tân,Hồ Chí Minh
14000.0,72.0,Nhà riêng,4,5,5,Đã có sổ hồng,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-son-phuong-phu-thanh/-danh-cho-vip-tan-72m2-4-tang-gia-14-ty-pr39026141,Đường Nguyễn Sơn,Phường Phú Thạnh,Tân Phú,Hồ Chí Minh
8500.0,510.0,Nhà mặt phố,1,5,2,,https://batdongsan.com.vn/ban-nha-mat-pho-duong-thanh-xuan-13-phuong-thanh-xuan/ban-tien-gan-quoc-lo-1a-11x45m-tho-cu-100-lon-gia-16-tr-m2-shr-pr38747476,Đường Thạnh Xuân 13,Phường Thạnh Xuân,Quận 12,Hồ Chí Minh
27000.0,88.0,Nhà mặt phố,0,0,0,,https://batdongsan.com.vn/ban-nha-mat-pho-pho-ly-thuong-kiet-phuong-14-5/can-ban-gap-2-tien-quan-10-hcm-dt-88m2-2-tang-gia-ban-27-ty-pr38711887,Đường  Lý Thường Kiệt,Phường 14,Quận 10,Hồ Chí Minh
5100.0,58.0,Nhà riêng,3,0,0,,https://batdongsan.com.vn/ban-nha-rieng-duong-quoc-lo-13-phuong-hiep-binh-phuoc/giam-gia-them-500tr-ban-gap-sieu-pham-dep-13-ngay-sat-khu-do-thi-van-phuc-pr38922096,Đường Quốc Lộ 13,Phường Hiệp Bình Phước,Thủ Đức,Hồ Chí Minh.
8500.0,144.0,Nhà riêng,1,1,1,Sổ đỏ/ Sổ hồng,https://batdongsan.com.vn/ban-nha-rieng-duong-luong-the-vinh-phuong-tan-thoi-hoa/ban-gan-dam-sen-chinh-chu-hem-xe-tai-pr39024516,Đường Lương Thế Vinh,Phường Tân Thới Hòa,Tân Phú,Hồ Chí Minh
10500.0,55.0,Nhà riêng,4,5,5,Sổ đỏ/ Sổ hồng,https://batdongsan.com.vn/ban-nha-rieng-duong-le-truc-phuong-5-14/-dep-hxh-nguyen-trung-xe-hoi-ngu-ngang-4m-4-tang-khu-vip-gia-chi-10-3-ty-tl-pr38979090,Đường Lê Trực,Phường 5,Bình Thạnh,Hồ Chí Minh
23800.0,100.0,Nhà mặt phố,4,0,0,Hợp đồng mua bán,https://batdongsan.com.vn/ban-nha-mat-pho-duong-le-huu-kieu-phuong-binh-trung-tay-prj-saigon-mystery-villas/ban-tien-106-q2-du-an-sai-gon-mystery-pr37729797,Đường Lê Hữu Kiều,Phường Bình Trưng Tây,Quận 2,Hồ Chí Minh
6800.0,70.0,Nhà riêng,2,3,3,Sổ đỏ/ Sổ hồng,https://batdongsan.com.vn/ban-nha-rieng-duong-doan-phu-tu-phuong-an-lac-a/mat-tien-re-t-khu-vuc-4x17-tret-lau-dep-ban-6-8-ty-pr38811166,Đường Đoàn Phú Tứ,Phường An Lạc A,Bình Tân,Hồ Chí Minh
48000.0,208.0,Nhà mặt phố,8,8,8,Sổ đỏ/ Sổ hồng,https://batdongsan.com.vn/ban-nha-mat-pho-duong-hoang-van-thu-phuong-9-12/hot-ban-vp-ham-8-tang-2mt-truoc-sau-dt-6-5x32m-hdt-180tr-gia-48ty-pr39025331,Đường Hoàng Văn Thụ,Phường 9,Phú Nhuận,Hồ Chí Minh
18000.0,175.5,"Nhà biệt thự, liền kề",3,4,4,,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-so-1-xa-phong-phu-4-prj-khu-dan-cu-phong-phu-5/-binh-chanh-full-noi-that-cao-cap-pr37118710,Đường Số 1,Xã Phong Phú,Bình Chánh,Hồ Chí Minh
5550.0,50.6,Nhà riêng,5,4,5,Sổ đỏ/ Sổ hồng.,https://batdongsan.com.vn/ban-nha-rieng-duong-thanh-xuan-38-phuong-thanh-xuan/ban-1-tret-4-lau-quan-12-xe-7-cho-dau-truoc-so-hoan-cong-du-don-vao-o-ngay-pr39024134,Đường Thạnh Xuân 38,Phường Thạnh Xuân,Quận 12,Hồ Chí Minh
7500.0,290.0,Nhà riêng,2,3,3,Sổ đỏ/ Sổ hồng,https://batdongsan.com.vn/ban-nha-rieng-duong-le-van-luong-xa-nhon-duc/-dep-gia-tot-dt-290m-ful-tho-cu-trai-nhua-7m-cach-lvl-chi-60m-pr39011469,Đường Lê Văn Lương,Xã Nhơn Đức,Nhà Bè,Hồ Chí Minh
3200.0,67.0,Nhà riêng,1,3,2,Sổ đỏ/ Sổ hồng,https://batdongsan.com.vn/ban-nha-rieng-duong-so-6-phuong-long-binh-3/ban-6-gan-vinhome-grand-park-dt-67m2-hong-7m-gia-3-2ty-pr38699785,Đường Số 6,Phường Long Bình,Quận 9,Hồ Chí Minh
6850.0,42.2,Nhà riêng,5,2,3,Sổ đỏ/ Sổ hồng,https://batdongsan.com.vn/ban-nha-rieng-duong-phan-van-tri-phuong-11-7/chinh-chu-ban-dep-moi-hxh-co-the-ket-hop-lam-phong-kien-truc-su-thiet-ke-thi-cong-pr38778327,348/20 Đường Phan Văn Trị,Phường 11,Bình Thạnh,Hồ Chí Minh
9500.0,119.0,"Nhà biệt thự, liền kề",4,4,4,Hợp đồng mua bán.,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-huu-tho-xa-phuoc-kieng-prj-zeitgeist-city/lh-pkd0-093-592-6999-gs-metro-7x17m-11-5-ty-7x18m-9-5x17m-10x20-18-ty-12-5x20m-15x20m-30-ty-pr36597734,Đường Nguyễn Hữu Thọ,Xã Phước Kiển,Nhà Bè,Hồ Chí Minh.
7800.0,90.0,"Nhà biệt thự, liền kề",3,4,4,Sổ đỏ/ Sổ hồng,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-phuoc-long-b-prj-hung-phu-1/can-ban-gap-can-dt-5x18-so-hoan-cong-gia-7-8-ty-cam-ket-ra-lai-hang-pr39023932,Dự án Hưng Phú 1,Phường Phước Long B,Quận 9,Hồ Chí Minh
8650.0,80.0,Nhà riêng,4,5,5,Sổ đỏ/ Sổ hồng,https://batdongsan.com.vn/ban-nha-rieng-duong-39-2-phuong-binh-trung-tay/chinh-chu-ban-gap-gan-bv-q2-80m2-4-tang-no-hau-phan-lo-sat-mt-kinh-doanh-pr39027794,Đường 39,Phường Bình Trưng Tây,Quận 2,Hồ Chí Minh
6100.0,50.0,Nhà riêng,3,4,3,Sổ đỏ/ Sổ hồng,https://batdongsan.com.vn/ban-nha-rieng-phuong-truong-tho-2/gap-ban-truoc-tet-dep-3-tang-o-ngay-hem-5m-tt-p-chi-6-1-ty-tl-pr39023901,,Phường Trường Thọ,Thủ Đức,Hồ Chí Minh
8500.0,68.0,Nhà riêng,4,7,8,Sổ đỏ/ Sổ hồng,https://batdongsan.com.vn/ban-nha-rieng-duong-vinh-hoi-phuong-4/ban-7-phong-tro-hem-xe-9x6-5m-dt-67-9m2-quan-4-hon-8-ty-pr39023637,Đường Vĩnh Hội,Phường 4,Quận 4,Hồ Chí Minh
12500.0,119.0,"Nhà biệt thự, liền kề",3,4,5,Sổ đỏ/ Sổ hồng.,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-huu-tho-xa-phuoc-kieng-prj-zeitgeist-city/pkd-gs-pho-tu-13-5-ty-bao-het-vat-va-tru-lai-5-ra-so-hong-pr38955030,Đường Nguyễn Hữu Thọ,Xã Phước Kiển,Nhà Bè,Hồ Chí Minh
160000.0,240.0,Nhà mặt phố,0,0,0,,https://batdongsan.com.vn/ban-nha-mat-pho-duong-ly-tu-trong-phuong-ben-thanh/ban-gap-mt-rong-12m-p-q1-cach-cho-200m-dang-no-nen-ban-re-pr39023472,Đường Lý Tự Trọng,Phường Bến Thành,Quận 1,Hồ Chí Minh
22000.0,100.0,"Shophouse, nhà phố thương mại",4,7,7,Sổ đỏ/ Sổ hồng,https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-duong-nguyen-quy-canh-phuong-an-phu-prj-an-phu-an-khanh/c-b-gap-100m2-du-khh-gia-sieu-re-pr39027662,Đường Nguyễn Quý Cảnh,Phường An Phú,Quận 2,Hồ Chí Minh
16500.0,160.0,"Nhà biệt thự, liền kề",4,4,5,,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-song-hanh-phuong-an-phu-prj-khu-do-thi-lakeview-city/ban-pho-goc-canh-dt-9-9x20m-1tret-3lau-full-noi-that-cao-cap-lh-0907110827-pr37784424,Đường Song Hành,Phường An Phú,Quận 2,Hồ Chí Minh
45000.0,250.0,"Nhà biệt thự, liền kề",4,11,10,Sổ đỏ/ Sổ hồng,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-pho-24-xa-binh-hung-1-prj-khu-dan-cu-him-lam-6a/-dang-cap-himlam-kdc-trung-son-ham-11pn-250m2-chi-45-ty-pr38619583,Phố 24,Xã Bình Hưng,Bình Chánh,Hồ Chí Minh.
89000.0,369.0,"Nhà biệt thự, liền kề",1,4,4,,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-ha-huy-tap-phuong-tan-phong-9-prj-khu-biet-thu-phu-gia/mot-so-can-don-lap-vip-99-can-my-hung-quan-7-can-ban-lh-0902-400-919-pr26516137,Đường Hà Huy Tập,Phường Tân Phong,Quận 7,Hồ Chí Minh
22500.0,67.0,Nhà mặt phố,0,0,0,Sổ đỏ/ Sổ hồng,https://batdongsan.com.vn/ban-nha-mat-pho-duong-dinh-tien-hoang-phuong-da-kao/25-ty-p-dakao-q-1-can-ban-pr37963285,Đường Đinh Tiên Hoàng,Phường Đa Kao,Quận 1,Hồ Chí Minh
27000.0,250.0,"Nhà biệt thự, liền kề",3,4,5,Hợp đồng mua bán,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-huu-tho-xa-phuoc-kieng-prj-zeitgeist-city/gs-suat-dau-tu-vip-noi-bo-ky-hdmb-10-va-thanh-toan-dai-trong-2-nam-gia-cdt-pr39027260,Đường Nguyễn Hữu Thọ,Xã Phước Kiển,Nhà Bè,Hồ Chí Minh
9300.0,99.0,Nhà riêng,4,6,7,Sổ đỏ/ Sổ hồng,https://batdongsan.com.vn/ban-nha-rieng-duong-tan-huong-phuong-tan-quy-2/can-tien-ha-2-5-ty-ban-gap-99m2-4-g-hx-g-phu-chi-9-3ty-pr39022818,Đường Tân Hương,Phường Tân Quý,Tân Phú,Hồ Chí Minh
7300.0,72.0,Nhà riêng,5,5,6,Sổ đỏ/ Sổ hồng,https://batdongsan.com.vn/ban-nha-rieng-duong-tan-hoa-dong-phuong-binh-tri-dong/ban-mtkd-dt-4m-x-18m-lo-nhua-8m-thong-1-lung-3-lau-gara-xe-hoi-trong-pr38932533,Đường Tân Hòa Đông,Phường Bình Trị Đông,Bình Tân,Hồ Chí Minh
7300.0,77.0,Nhà mặt phố,0,0,0,,https://batdongsan.com.vn/ban-nha-mat-pho-duong-minh-phung-phuong-5-10/ban-gap-mt-7-3-ty-pr39014693,Đường Minh Phụng,Phường 5,Quận 6,Hồ Chí Minh
