gia,dientich,rong,dai,kieunha,phuong, quan,bedroom,bathroom,phaply,ngaydang,masobds,linkweb
3200,30,8.4,3.15,"hẻm, ngõ", Phường 17, Quận Phú Nhuận,2,2,Sổ hồng,21/01/2024,21819870,https://mogi.vn/quan-phu-nhuan/mua-nha-hem-ngo/hem-1-truc-thang-huynh-van-banh-q-phu-nhuan-3-15mx8-4m-giap-q-3-id21819870
3200,37,9.1,4,đường nội bộ, Phường 8, Quận Gò Vấp,2,2,Sổ hồng,21/01/2024,22204185,https://mogi.vn/quan-go-vap/mua-duong-noi-bo/doc-dao-ban-nha-go-vap-chi-3ty2-hem-xe-tai-372x2tang-100m-ra-mt-kd-id22204185
3250,38,8,4.5,đường nội bộ, Phường 15, Quận Tân Bình,2,2,Sổ hồng,21/01/2024,22186429,https://mogi.vn/quan-tan-binh/mua-duong-noi-bo/nha-dep-2-lau-38m2-duoi-3-ty-25-pham-van-bach-p15-tb-id22186429
3300,46,13.5,3.3,"mặt tiền, phố", Phường 15, Quận Tân Bình,2,2,Sổ hồng,21/01/2024,22183976,https://mogi.vn/quan-tan-binh/mua-nha-mat-tien-pho/ban-nha-hxt-pham-van-bach-p15-tb-46m2-chi-duoi-3ty-4-id22183976
3390,105,21,5,"mặt tiền, phố", Xã Đông Thạnh, Huyện Hóc Môn,3,2,Sổ đỏ,21/01/2024,22429448,https://mogi.vn/huyen-hoc-mon/mua-nha-mat-tien-pho/mat-tien-huynh-thi-na-105m2-co-3-39-ty-dong-thanh-hoc-mon-tp-hcm-id22429448
3450,39,13,3,"mặt tiền, phố", Phường 16, Quận Gò Vấp,2,2,Sổ hồng,21/01/2024,22185742,https://mogi.vn/quan-go-vap/mua-nha-mat-tien-pho/ban-nha-moi-dep-lung-linh-37m2-le-duc-tho-p16-gv-duoi-3-ty-45-id22185742
3500,122,14.2,9.02,"hẻm, ngõ", Xã Nhị Bình, Huyện Hóc Môn,4,3,Sổ hồng,21/01/2024,22449946,https://mogi.vn/huyen-hoc-mon/mua-nha-hem-ngo/ban-biet-thu-dep-9-02m-x-14-4-3-5-ty-nhi-binh-hoc-mon-tphc-id22449946
3500,28,7,4,"hẻm, ngõ", Phường 1, Quận 10,3,3,Sổ hồng,21/01/2024,22340760,https://mogi.vn/quan-10/mua-nha-hem-ngo/ban-gap-nha-ho-thi-ky-quan-10-hxh-id22340760
3500,28,7,4,"hẻm, ngõ", Phường 1, Quận Phú Nhuận,3,4,Sổ hồng,21/01/2024,22390293,https://mogi.vn/quan-phu-nhuan/mua-nha-hem-ngo/ban-gap-nha-phan-dinh-phung-hxh-id22390293
3500,35,8.5,4.1,"hẻm, ngõ", Phường Phú Thọ Hòa, Quận Tân Phú,2,2,Sổ hồng,21/01/2024,22458947,https://mogi.vn/quan-tan-phu/mua-nha-hem-ngo/nha-o-to-dau-gan-cua-50m-ra-mat-tien-nguye-son-3-55-ty-id22458947
3500,36,9,3.5,"hẻm, ngõ", Phường Tân Sơn Nhì, Quận Tân Phú,2,2,Sổ hồng,21/01/2024,22429988,https://mogi.vn/quan-tan-phu/mua-nha-hem-ngo/nha-vao-o-ngay-tan-son-nhi-cach-30m-ra-mat-tien-3-55-ty-id22429988
3500,38,9.5,4,"hẻm, ngõ", Phường 10, Quận Tân Bình,2,2,Sổ hồng,21/01/2024,22412541,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/nha-2-tang-hem-thong-o-to-do-cua-ni-su-huynh-lien-3-5-ty-id22412541
3500,42,10,4.2,"hẻm, ngõ", Phường 10, Quận Tân Bình,2,2,Sổ hồng,21/01/2024,22398420,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/nha-rong-hem-thoang-o-to-do-cua-ni-su-huynh-lien-3-5-ty-id22398420
3500,81,20,4,"hẻm, ngõ", Phường Hiệp Thành, Quận 12,3,2,Sổ đỏ,21/01/2024,22415743,https://mogi.vn/quan-12/mua-nha-hem-ngo/81m2-co-3-5-tyhuong-lo-80-hiep-thanh-quan-12-tphcm-gia-beo-id22415743
3500,97,20,5,"mặt tiền, phố", Xã Xuân Thới Thượng, Huyện Hóc Môn,2,1,Sổ hồng,21/01/2024,22469555,https://mogi.vn/huyen-hoc-mon/mua-nha-mat-tien-pho/nha-5x20m-mat-tien-nhua-xtt26-gan-cho-xuan-thoi-thuong-id22469555
3550,64,16,4,"hẻm, ngõ", Xã Bà Điểm, Huyện Hóc Môn,3,2,Sổ hồng,21/01/2024,22469749,https://mogi.vn/huyen-hoc-mon/mua-nha-hem-ngo/nha-lau-4x16m-mat-tien-dong-lan-5-gan-ben-xe-nga-4an-suong-xa-ba-diem-id22469749
3600,24,6.5,4,"hẻm, ngõ", Phường 17, Quận Phú Nhuận,2,2,Sổ hồng,21/01/2024,22351428,https://mogi.vn/quan-phu-nhuan/mua-nha-hem-ngo/ngay-nga-tu-phu-nhuan-4-tang-24m2-gan-cd-kinh-te-doi-ngoai-chi-3-6-ty-id22351428
3600,48,12,4,đường nội bộ, Phường Bình Hưng Hòa A, Quận Bình Tân,2,2,Sổ hồng,21/01/2024,22279546,https://mogi.vn/quan-binh-tan/mua-duong-noi-bo/176bta-ban-gap-nha-nga-tu-bon-xa-saucan-mat-tien-mieu-go-xoai-thue-7tr-id22279546
3600,98,23,4.3,"hẻm, ngõ", Xã Bình Chánh, Huyện Bình Chánh,3,2,Sổ hồng,21/01/2024,22359719,https://mogi.vn/huyen-binh-chanh/mua-nha-hem-ngo/ban-nha-huynh-van-tri-98m2-1-tret-1-lau-id22359719
3700,26.55,10,3,"hẻm, ngõ", Phường 8, Quận 10,2,2,Sổ hồng,21/01/2024,22334428,https://mogi.vn/quan-10/mua-nha-hem-ngo/gia-dinh-can-ban-nha-277-20-mong-gap-khach-can-mua-id22334428
3700,35,7,5,"hẻm, ngõ", Phường 15, Quận 10,2,2,Sổ hồng,21/01/2024,22469349,https://mogi.vn/quan-10/mua-nha-hem-ngo/nha-moi-cmt8-quan-10-canh-cong-vien-le-thi-rieng-3-7-ty-id22469349
3700,36,9,4,"hẻm, ngõ", Phường 11, Quận 6,3,2,Sổ hồng,21/01/2024,22359025,https://mogi.vn/quan-6/mua-nha-hem-ngo/ban-nha-trung-tam-quan-6-2-tang-3pn-36m2-id22359025
3700,40,10,4,"hẻm, ngõ", Phường Bình Hưng Hòa A, Quận Bình Tân,3,3,Sổ hồng,21/01/2024,22279438,https://mogi.vn/quan-binh-tan/mua-nha-hem-ngo/178bta1-nha-ban-binh-hung-hoa-a-binh-tan-nhinh3ty-hxt-6m-4x10-x3-tang-id22279438
3700,43,11,4,"hẻm, ngõ", Phường 5, Quận Gò Vấp,3,3,Sổ hồng,21/01/2024,22417751,https://mogi.vn/quan-go-vap/mua-nha-hem-ngo/ban-nha-phuong-5-quan-go-vap-43m2-huynh-khuong-an-2-tam-btct-id22417751
3750,40,10,4,đường nội bộ, Phường Phú Trung, Quận Tân Phú,2,2,Sổ hồng,21/01/2024,22240196,https://mogi.vn/quan-tan-phu/mua-duong-noi-bo/n-nha-tan-binh-duong-huynh-v-chinh-au-co-40m2-2tang2pn-hxh-6m-3ty750-id22240196
3780,44,11,4,"hẻm, ngõ", Phường Bình Hưng Hòa A, Quận Bình Tân,2,2,Sổ hồng,21/01/2024,22461493,https://mogi.vn/quan-binh-tan/mua-nha-hem-ngo/can-ban-gap-nha-1-lau-hem-8-le-van-quoi-dt-3-6-x-12m-no-hau-4m-id22461493
3780,46,16,3.2,"hẻm, ngõ", Phường Bình Hưng Hòa A, Quận Bình Tân,4,3,Sổ hồng,21/01/2024,22337425,https://mogi.vn/quan-binh-tan/mua-nha-hem-ngo/22bta1-co-3ty78-ban-nha-binh-tan-binh-hung-hoa-a-46m2-x3tang-4pn-hxh-id22337425
3800,21,7,3,"hẻm, ngõ", Phường 5, Quận 3,3,4,Hợp đồng mua bán,21/01/2024,22351750,https://mogi.vn/quan-3/mua-nha-hem-ngo/nha-sat-mat-tien-cao-thang-quan-3-4-tang-btct-3pn-4wc-chi-nhinh-3-ty-id22351750
3800,22,5.4,4.2,"hẻm, ngõ", Phường 2, Quận Tân Bình,3,3,Sổ hồng,21/01/2024,22458369,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/266tb1-chi-3ty8-ban-nha-tan-binh-moi-o-ngay-nguyen-trong-tuyen-3-tang-id22458369
3900,34,12,3.2,"hẻm, ngõ", Phường 5, Quận Phú Nhuận,2,2,Sổ hồng,21/01/2024,22441638,https://mogi.vn/quan-phu-nhuan/mua-nha-hem-ngo/sat-mat-tien-phu-nhuan-thich-quang-duc-34m2-hem-ba-gac-chi-nhinh-3ty-id22441638
3900,64,16,4,"mặt tiền, phố", Phường Bình Hưng Hòa A, Quận Bình Tân,2,2,Sổ hồng,21/01/2024,22393510,https://mogi.vn/quan-binh-tan/mua-nha-mat-tien-pho/giap-le-thuc-hoach-tan-phu-hem-nhua-6m-thong-64m2-4-x-16-2-tang-id22393510
3950,35,7,5,"hẻm, ngõ", Phường 4, Quận Tân Bình,3,3,Sổ hồng,21/01/2024,22472721,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/nha-moi-xay-4-tang-3-phong-ngu-duong-cmt8-3-95-ty-id22472721
3950,74,13,6,"hẻm, ngõ", Phường 11, Quận Gò Vấp,4,2,Sổ hồng,21/01/2024,22467739,https://mogi.vn/quan-go-vap/mua-nha-hem-ngo/gv-nha-74m2-2t-ngang-6m-gan-ngay-b-vien-go-vap-co-op-quang-trung-id22467739
3999,44,11,4,"hẻm, ngõ", Phường 10, Quận 3,3,3,Sổ hồng,21/01/2024,22238234,https://mogi.vn/quan-3/mua-nha-hem-ngo/ban-gap-nha-cach-mang-thang-8-quan-3-hxh-id22238234
3999,91,19.2,5.02,"hẻm, ngõ", Phường An Phú Đông, Quận 12,3,2,Sổ hồng,21/01/2024,22450406,https://mogi.vn/quan-12/mua-nha-hem-ngo/ban-nha-dep-89m2-2-tang-hxt-3-999-ty-an-phu-dong-quan-12-tphcm-id22450406
4000,35,10.5,3.5,"hẻm, ngõ", Phường 17, Quận Bình Thạnh,2,2,Sổ hồng,21/01/2024,22276526,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/ngay-hang-xanh-giap-quan-1-xo-viet-nghe-tinh-35m2-hem-3-gac-chi-4-ty-id22276526
4000,38,10.5,3.5,"mặt tiền, phố", Phường 15, Quận Tân Bình,2,2,Sổ hồng,21/01/2024,22188921,https://mogi.vn/quan-tan-binh/mua-nha-mat-tien-pho/nha-moi-dep-hxh-40m2-2-tang-btct-phan-huy-ich-tan-binh-duoi-4-ty-3-id22188921
4000,42,10.5,4,"hẻm, ngõ", Phường 10, Quận Gò Vấp,3,3,Sổ hồng,21/01/2024,22472888,https://mogi.vn/quan-go-vap/mua-nha-hem-ngo/chinh-chu-can-ban-nha-phan-van-tri-gv-42m2-3-tang-hxh-gia-4-ty-hon-id22472888
4000,52,13,4.03,"hẻm, ngõ", Phường Thạnh Xuân, Quận 12,4,5,Sổ hồng,21/01/2024,22436856,https://mogi.vn/quan-12/mua-nha-hem-ngo/nha-dep-3-tang-nhinh-4-ty-tx22-thanh-xuan-quan-12-tphcm-rat-thom-id22436856
4000,53,13,403,"hẻm, ngõ", Phường Thạnh Xuân, Quận 12,4,3,Sổ đỏ,21/01/2024,22438094,https://mogi.vn/quan-12/mua-nha-hem-ngo/dep-3-tang-nhinh-4-ty-tx22-thanh-xuan-quan-12-tphcm-rat-thom-id22438094
4000,67,16,4.33,"mặt tiền, phố", Phường Thạnh Xuân, Quận 12,4,3,Sổ đỏ,21/01/2024,22472916,https://mogi.vn/quan-12/mua-nha-mat-tien-pho/ngop-68m2-3-tang-4-ty-x-thanh-xuan-qua-n-12-tphcm-id22472916
4000,69,16.6,4.22,"mặt tiền, phố", Phường Thạnh Xuân, Quận 12,4,3,Sổ đỏ,21/01/2024,22460442,https://mogi.vn/quan-12/mua-nha-mat-tien-pho/nha-mat-tien-kd-3-tang-69m2-4-ty-x-thanh-xuan-quan-12-tphcm-id22460442
4000,88,11,8,"mặt tiền, phố", Phường 15, Quận 11,3,3,Sổ hồng,21/01/2024,22377197,https://mogi.vn/quan-11/mua-nha-mat-tien-pho/ban-gap-can-ho-cao-cap-thuan-viet-quan-11-id22377197
4000,88,16,4.6,"hẻm, ngõ", Phường Hiệp Thành, Quận 12,5,5,Sổ hồng,21/01/2024,22377885,https://mogi.vn/quan-12/mua-nha-hem-ngo/top-16-can-nha-dep-don-tet-tren-3-ty-nguyen-anh-thu-q12-tphcm-id22377885
4000,90,18,5,"mặt tiền, phố", Phường Thạnh Xuân, Quận 12,3,2,Sổ hồng,21/01/2024,22308296,https://mogi.vn/quan-12/mua-nha-mat-tien-pho/nha-qua-re-thanh-xuan-q12-5-x-18-hxt-quay-dau-so-a4-nhinh-4-ty-id22308296
4099,68,17,4.1,"mặt tiền, phố", Phường Thới An, Quận 12,3,3,Sổ đỏ,21/01/2024,22472928,https://mogi.vn/quan-12/mua-nha-mat-tien-pho/hxh-thong-68m2-2-tang-4-ty-1-tran-thi-co-thoi-an-qua-n-12-tphcm-id22472928
4100,40,10,4,"hẻm, ngõ", Phường Tân Quý, Quận Tân Phú,3,4,Sổ hồng,21/01/2024,22451649,https://mogi.vn/quan-tan-phu/mua-nha-hem-ngo/nha-4-tang-o-to-do-cua-doi-dien-aeon-tan-phu-4-1-ty-id22451649
4100,58,17.5,3.4,"hẻm, ngõ", Phường Bình Hưng Hòa A, Quận Bình Tân,2,2,Sổ hồng,21/01/2024,22461747,https://mogi.vn/quan-binh-tan/mua-nha-hem-ngo/nha-ban-hem-82-le-van-quoi-binh-tan-dt-3-4m-x-17-5m-1-lung-1-lau-id22461747
4100,68,17,4,"hẻm, ngõ", Phường Bình Hưng Hòa A, Quận Bình Tân,1,1,Sổ hồng,21/01/2024,22468231,https://mogi.vn/quan-binh-tan/mua-nha-hem-ngo/nha-cap-4-hem-171-go-xoai-dt-4m-x-17m-hem-4m-gia-4-1-ty-id22468231
4150,30,2,2,"hẻm, ngõ", Phường 11, Quận Bình Thạnh,2,2,Sổ hồng,21/01/2024,22322575,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/nguyen-van-dau-hemxe-hoi-noi-that-cao-cap-so-vuong-vuc-chi-nhinh-4ty-id22322575
4150,45,13,3.8,"hẻm, ngõ", Phường 14, Quận 3,3,3,Sổ hồng,21/01/2024,22442531,https://mogi.vn/quan-3/mua-nha-hem-ngo/nha-moi-quan-3-sat-mat-tien-truong-sa-43m2-ngang-3-8m-3pn-nhinh-4ty-id22442531
4200,26,6,4,"mặt tiền, phố", Phường 11, Quận 3,3,2,Sổ hồng,21/01/2024,21929675,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/chinh-chu-ban-gap-nha-ngay-mat-tien-kinh-doanh-tot-tran-van-dang-p-id21929675
4200,32,6,5,"hẻm, ngõ", Phường 15, Quận 10,2,2,Sổ hồng,21/01/2024,22308278,https://mogi.vn/quan-10/mua-nha-hem-ngo/ban-gap-nha-cach-mang-thang-tam-q10-hxhlt-id22308278
4300,36,10.6,3.4,"hẻm, ngõ", Phường 15, Quận Tân Bình,2,2,Sổ hồng,21/01/2024,22425207,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/398tb-nhinh4ty-vi-tri-vang-4-dai-sieu-thi-aeon-lotte-emart-bigc-tb-id22425207
4300,36,12,3,"hẻm, ngõ", Phường 2, Quận Phú Nhuận,3,3,Sổ hồng,21/01/2024,22390289,https://mogi.vn/quan-phu-nhuan/mua-nha-hem-ngo/ban-gap-nha-phan-dinh-phung-hxh-id22390289
4500,32,8,4,"hẻm, ngõ", Phường 10, Quận 3,4,3,Sổ hồng,21/01/2024,22390281,https://mogi.vn/quan-3/mua-nha-hem-ngo/ban-gap-nha-cach-mang-thang-tam-quan-3-id22390281
4500,35,9,3.5,"hẻm, ngõ", Phường 9, Quận Phú Nhuận,5,4,Sổ hồng,21/01/2024,22334952,https://mogi.vn/quan-phu-nhuan/mua-nha-hem-ngo/nha-sat-mat-tien-tran-khac-chan-35m2-4-tang-btct-5pn-chi-nhinh-4-ty-id22334952
4500,39,11,3.5,"hẻm, ngõ", Phường 14, Quận Tân Bình,3,3,Sổ hồng,21/01/2024,22414819,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/nha-3-tang-gan-mat-tien-duong-ba-van-bau-cat-4-5-ty-id22414819
4500,40,10,4,"hẻm, ngõ", Phường 9, Quận 3,3,3,Sổ hồng,21/01/2024,22390297,https://mogi.vn/quan-3/mua-nha-hem-ngo/ban-gap-nha-ky-dong-quan-3-hxh-id22390297
4500,45,10,4.5,"hẻm, ngõ", Phường Tân Định, Quận 1,2,2,Sổ hồng,21/01/2024,22319647,https://mogi.vn/quan-1/mua-nha-hem-ngo/ho-khau-quan-1-sat-hem-xe-hoi-tran-quang-khai-4-5-x-10m-chi-nhinh-4-ty-id22319647
4500,56,14,4,"hẻm, ngõ", Phường 11, Quận Tân Bình,2,2,Sổ hồng,21/01/2024,22347700,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/nha-doi-dien-sacombank-lac-long-quan-gan-cho-tan-binh-4-5-ty-id22347700
4500,92,23,4,"hẻm, ngõ", Phường Tây Thạnh, Quận Tân Phú,3,3,Sổ hồng,21/01/2024,22457545,https://mogi.vn/quan-tan-phu/mua-nha-hem-ngo/nha-4x23m-hem-o-to-5m-gan-sacombank-le-trong-tan-4-5-ty-id22457545
4500,95,15,5.25,"hẻm, ngõ", Phường Linh Đông, Quận Thủ Đức (TP. Thủ Đức),5,3,Sổ hồng,21/01/2024,22459036,https://mogi.vn/quan-thu-duc/mua-nha-hem-ngo/ban-gap-95m2-nha-hxh-5-phong-cho-thue-linh-dong-thu-duc-gia-chi-4ty5-id22459036
4550,30,8,3.5,"hẻm, ngõ", Phường 14, Quận 3,3,4,Sổ hồng,21/01/2024,22307015,https://mogi.vn/quan-3/mua-nha-hem-ngo/quan-3-nha-5-tang-khu-vip-tran-quang-dieu-vuong-vuc-chi-nhinh-4-ty-id22307015
4550,62,16,4,"hẻm, ngõ", Phường 6, Quận Bình Thạnh,2,2,Sổ hồng,21/01/2024,22309712,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/duy-nhat-mot-can-sat-mat-tien-hoang-hoa-tham-phuong-6-62m2-4-x-16m-id22309712
4600,35,11,3.5,"hẻm, ngõ", Phường 8 (Phường Võ Thị Sáu), Quận 3,2,3,Sổ hồng,21/01/2024,22365759,https://mogi.vn/quan-3/mua-nha-hem-ngo/quan-3-ngay-cau-kieu-gan-mat-tien-hai-ba-trung-35m2-chi-nhinh-4-ty-id22365759
