gia,dien tich,kieu nha,tang,phong ngu,wc,phap ly,link,duong,xa phuong thi tran,quan,tp
6500,64.9,Nhà riêng,4,5,4,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-nha-rieng-duong-quoc-lo-13-phuong-hiep-binh-chanh/ban-235m2-ngay-gigamall-pham-van-dong-hbc-hbp-thu-duc-duy-t-can-co-san-vuon-7m-pr39025529,Ðu?ng Qu?c L? 13,Phu?ng Hi?p Bình Chánh,Th? Ð?c,H? Chí Minh
6500,70,Nhà riêng,4,4,4,S? h?ng riêng,https://batdongsan.com.vn/ban-nha-rieng-duong-quoc-lo-13-phuong-hiep-binh-phuoc/chiet-khau-khung-5-day-dong-bo-duy-t-truc-13-gia-tu-5-ty-den-6-5-ty-0931082268-pr33636916,Ðu?ng Qu?c L? 13,Phu?ng Hi?p Bình Phu?c,Th? Ð?c,H? Chí Minh
6700,60,Nhà riêng,3,0,0,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-nha-rieng-duong-cach-mang-thang-tam-phuong-5-17/ban-2mt-hem-xe-hoi-8-tan-binh-dt-3-6-x-17-3-tang-duy-nhat-1-doi-chu-7-ty-tl-pr38345535,Ðu?ng Cách M?ng Tháng Tám,Phu?ng 5,Tân Bình,H? Chí Minh
7100,88,Nhà riêng,0,0,0,,https://batdongsan.com.vn/ban-nha-rieng-duong-7-phuong-17-2/chinh-chu-ban-88m2-1-tret-1-lung-doi-dien-cong-vien-khu-dep-quan-go-vap-nhinh-7-ty-pr38817744,Ðu?ng 7,Phu?ng 17,Gò V?p,H? Chí Minh
7200,110,Nhà riêng,0,4,4,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-nha-rieng-duong-so-34-phuong-linh-dong/ban-sat-ben-truong-cao-dang-cong-nghe-tphcm-6m-ngang-dt-110m2-xe-hoi-vao-tan-cua-pr38109649,Ðu?ng S? 34,Phu?ng Linh Ðông,Th? Ð?c,H? Chí Minh
7300,49,Nhà riêng,2,2,3,S? H?ng,https://batdongsan.com.vn/ban-nha-rieng-duong-100-binh-thoi-phuong-14-6/ha-gia-ban-nh-hem-xe-tai-con-moi-1-tret-1-lau-cach-30m-ra-100-thoi-pr38499084,Ðu?ng 100 Bình Th?i,Phu?ng 14,Qu?n 11,H? Chí Minh
7450,64,Nhà riêng,5,5,5,,https://batdongsan.com.vn/ban-nha-rieng-duong-binh-tri-dong-phuong-binh-tri-dong-a/447-1b-hem-thong-le-van-quoi-pr33863733,447 Ðu?ng Bình Tr? Ðông,Phu?ng Bình Tr? Ðông A,Bình Tân,H? Chí Minh
7490,50,Nhà riêng,4,4,4,S? d?/ S? h?ng.,https://batdongsan.com.vn/ban-nha-rieng-duong-so-8-phuong-hiep-binh-chanh/giam-1-ty-ban-moi-4-lau-doi-dien-tho-fatima-sat-dh-luat-cach-pvd-300m-lh-pr38614248,Ðu?ng S? 8,Phu?ng Hi?p Bình Chánh,Th? Ð?c,H? Chí Minh
7500,100,Nhà riêng,4,4,5,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-nha-rieng-duong-tran-thi-do-phuong-hiep-thanh-3/chinh-chu-can-ban-gap-3-tang-sieu-dep-view-cong-vien-khu-vuc-an-ninh-o-ngay-trung-tam-quan-12-pr38217392,Ðu?ng Tr?n Th? Do,Phu?ng Hi?p Thành,Qu?n 12,H? Chí Minh
7500,51.17,Nhà riêng,3,6,3,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-nha-rieng-duong-le-truc-phuong-7-9/-mat-tien-gia-re-can-ban-gap-p7-q-binh-thanh-1-tret-2-lau-1-san-thuong-7ty500-pr38632859,Ðu?ng Lê Tr?c,Phu?ng 7,Bình Th?nh,H? Chí Minh
7600,68,Nhà riêng,3,3,3,,https://batdongsan.com.vn/ban-nha-rieng-duong-huynh-van-banh-phuong-17-3/re-nhat-phu-nhuan-giap-quan-1-chi-7-6-ty-68m2-ngang-5-3m-3tang-khong-lg-khong-loi-pt-pr39026237,Ðu?ng Hu?nh Van Bánh,Phu?ng 17,Phú Nhu?n,H? Chí Minh
7600,86,Nhà riêng,2,8,2,,https://batdongsan.com.vn/ban-nha-rieng-duong-pham-hung-phuong-9-8/ban-quan-8-1-lau-dt-4x21-5m-dep-co-ban-cong-pr35157197,Ðu?ng Ph?m Hùng,Phu?ng 9,Qu?n 8,H? Chí Minh
9800,80.4,Nhà m?t ph?,2,2,2,,https://batdongsan.com.vn/ban-nha-mat-pho-duong-to-hieu-phuong-tan-thoi-hoa/-tien-5x16-08-80-4m2-ngan-hang-dinh-gia-11-12-ty-ban-truoc-tet-9-8-ty-pr39024763,Ðu?ng Tô Hi?u,Phu?ng Tân Th?i Hòa,Tân Phú,H? Chí Minh
10500,54.3,Nhà riêng,3,5,7,,https://batdongsan.com.vn/ban-nha-rieng-duong-le-truc-phuong-7-9/giam-nh-500-trieu-cho-khach-chot-som-5pn-7wc-hem-xe-hoi-binh-thanh-cam-ket-chinh-chu-pr38903709,Ðu?ng Lê Tr?c,Phu?ng 7,Bình Th?nh,H? Chí Minh
10800,49.14,Nhà riêng,5,4,0,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-nha-rieng-duong-bach-dang-phuong-2-22/ban-tai-so-165-4b-p-2-q-tan-binh-xay-4-tang-san-thuong-huong-dong-pr38989002,Ðu?ng B?ch Ð?ng,Phu?ng 2,Tân Bình,H? Chí Minh
11000,75,"Nhà bi?t th?, li?n k?",0,0,0,,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-lien-phuong-phuong-phu-huu-2-prj-verosa-park-khang-dien/cap-nhat-gio-hang-chuyen-nhuong-moi-nhat-du-an-quan-9-thanh-pho-duc-pr35591737,Ðu?ng Liên Phu?ng,Phu?ng Phú H?u,Qu?n 9,H? Chí Minh
11000,78,Nhà riêng,4,0,0,,https://batdongsan.com.vn/ban-nha-rieng-duong-ho-bieu-chanh-phuong-12-9/ban-goc-2-mt-p12-phu-nhuan-dt-7x13m-kc-4t-gia-11-ty-lh-pr38989364,Ðu?ng H? Bi?u Chánh,Phu?ng 12,Phú Nhu?n,H? Chí Minh
11600,84,"Nhà bi?t th?, li?n k?",0,0,0,,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-xien-phuong-long-thanh-my-prj-the-manhattan-vinhomes-grand-park/chuyen-chuyen-nhuong-pho-gia-tot-t-thi-truong-lh-0919099098-zalo-pr31388206,Ðu?ng Nguy?n Xi?n,Phu?ng Long Th?nh M?,Qu?n 9,H? Chí Minh
12000,100,Nhà riêng,4,4,5,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-nha-rieng-duong-46-phuong-binh-trung-dong/ban-chinh-chu-5x20-gan-nguyen-duy-trinh-quan-2-pr38985958,Ðu?ng 46,Phu?ng Bình Trung Ðông,Qu?n 2,H? Chí Minh
12300,102,"Nhà bi?t th?, li?n k?",3,4,3,S? d?/ S? h?ng.,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-lien-phuong-phuong-phu-huu-2-prj-verosa-park-khang-dien/chinh-chu-ban-pho-tich-90m2-so-hong-rieng-goi-ngay-0982667473-mr-phan-pr36692265,Ðu?ng Liên Phu?ng,Phu?ng Phú H?u,Qu?n 9,H? Chí Minh
12500,119,"Nhà bi?t th?, li?n k?",3,4,5,S? d?/ S? h?ng.,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-huu-tho-xa-phuoc-kieng-prj-zeitgeist-city/pkd-gs-pho-tu-13-5-ty-bao-het-vat-va-tru-lai-5-ra-so-hong-pr38955030,Ðu?ng Nguy?n H?u Th?,Xã Phu?c Ki?n,Nhà Bè,H? Chí Minh
12900,52.7,Nhà riêng,5,5,5,"Chính ch? s? h?ng riêng, công ch?ng nhanh",https://batdongsan.com.vn/ban-nha-rieng-duong-le-van-sy-phuong-12-1/ngop-bank-ban-gap-hxh-12-quan-3-dtsd-300m2-5-tang-gia-12-9-ty-pr38960131,Ðu?ng Lê Van S?,Phu?ng 12,Qu?n 3,H? Chí Minh
13500,100,Nhà m?t ph?,0,1,1,S? h?ng,https://batdongsan.com.vn/ban-nha-mat-pho-duong-hoang-huu-nam-phuong-long-thanh-my/ban-tien-nam-pr39026741,Ðu?ng Hoàng H?u Nam,Phu?ng Long Th?nh M?,Qu?n 9,H? Chí Minh
14500,267.4,Nhà riêng,1,1,1,Có s?,https://batdongsan.com.vn/ban-nha-rieng-duong-le-trong-tan-phuong-tay-thanh/chinh-chu-ban-phu-hem-lon-dien-tich-267-4m2-pr38938867,Ðu?ng Lê Tr?ng T?n,Phu?ng Tây Th?nh,Tân Phú,H? Chí Minh
15500,176,Nhà m?t ph?,0,2,2,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-nha-mat-pho-duong-pham-dang-giang-phuong-binh-hung-hoa/ban-gap-tien-dt-6x28-hien-trang-cap-4-tien-xay-moi-ban-15-5-ty-pr39027149,Ðu?ng Ph?m Ðang Gi?ng,Phu?ng Bình Hung Hòa,Bình Tân,H? Chí Minh
15900,105,"Nhà bi?t th?, li?n k?",0,0,0,,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-2-1-phuong-hiep-binh-phuoc-prj-khu-do-thi-van-phuc-city/ban-kdt-2-hoan-thien-5x17-11-ty-6x17-tho-11-ty-7x17-14-5-ty-7x19-14-5-pr24582861,Ðu?ng 2,Phu?ng Hi?p Bình Phu?c,Th? Ð?c,H? Chí Minh
15900,90,Nhà m?t ph?,4,4,4,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-nha-mat-pho-duong-an-duong-vuong-phuong-10-4/-phong-cach-luxury-5-sao-tien-so-full-noi-that-nhu-hinh-pr38978394,Ðu?ng An Duong Vuong,Phu?ng 10,Qu?n 6,H? Chí Minh
16000,74.8,Nhà riêng,5,4,2,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-nha-rieng-duong-tran-hung-dao-b-phuong-14-2/ban-74-8m-dang-cho-thue-48-trieu-1-thang-pr38252761,Ðu?ng Tr?n Hung Ð?o B,Phu?ng 14,Qu?n 5,H? Chí Minh
16000,74.8,Nhà riêng,5,4,2,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-nha-rieng-duong-tran-hung-dao-b-phuong-14-2/ban-74-8m-dang-cho-thue-48-trieu-1-thang-pr38252761,Ðu?ng Tr?n Hung Ð?o B,Phu?ng 14,Qu?n 5,H? Chí Minh
16500,156.25,"Nhà bi?t th?, li?n k?",2,3,2,H?p d?ng mua bán,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-van-linh-xa-binh-hung-1-prj-khu-dan-cu-camellia-garden/ban-gap-an-ninh-24-24-gia-16-5-ty-view-cong-vien-kenh-can-goc-lon-gia-giam-18ty-pr38996310,Ðu?ng Nguy?n Van Linh,Xã Bình Hung,Bình Chánh,H? Chí Minh
16500,79,Nhà m?t ph?,2,0,0,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-nha-mat-pho-duong-xo-viet-nghe-tinh-phuong-25/ban-tien-rong-40m-gia-chi-16-5-ty-pr39020995,Ðu?ng Xô Vi?t Ngh? Tinh,Phu?ng 25,Bình Th?nh,H? Chí Minh
19500,280,"Nhà bi?t th?, li?n k?",4,6,6,H?p d?ng mua bán,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-lo-lu-phuong-truong-thanh-prj-sim-city/ban-chinh-chu-tai-kdc-quan-9-tp-hcm-pr38984022,Ðu?ng Lò Lu,Phu?ng Tru?ng Th?nh,Qu?n 9,H? Chí Minh
20000,129.7,Nhà riêng,4,6,6,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-nha-rieng-duong-lac-long-quan-phuong-3-18/chinh-chu-ban-20-ty-tl-sieu-pham-can-goc-mat-tien-hem-134-40-42-quan-pr38933908,Ðu?ng L?c Long Quân,Phu?ng 3,Qu?n 11,H? Chí Minh
20500,200,"Nhà bi?t th?, li?n k?",5,5,4,H?p d?ng mua bán,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-long-thanh-my-prj-vinhomes-grand-park/-pho-ngop-oxy-gia-tot-t-thi-truong-lh-mr-duc-pr38755000,D? án Vinhomes Grand Park,Phu?ng Long Th?nh M?,Qu?n 9,H? Chí Minh.
20500,200,"Nhà bi?t th?, li?n k?",5,4,4,,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-xien-phuong-long-thanh-my-prj-the-manhattan-vinhomes-grand-park/gio-hang-ngop-pho-shophouse-cap-t-24-7-lh-mr-duc-pr39017050,Ðu?ng Nguy?n Xi?n,Phu?ng Long Th?nh M?,Qu?n 9,H? Chí Minh.
20500,200,"Nhà bi?t th?, li?n k?",0,0,0,H?p d?ng mua bán.,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-long-thanh-my-prj-vinhomes-grand-park/quan-ly-tat-ca-hang-ngop-gia-tot-pho-84m2-12-8t-96m2-15-2t-126m2-17t-144m2-19t-pr36542351,D? án Vinhomes Grand Park,Phu?ng Long Th?nh M?,Qu?n 9,H? Chí Minh
20700,126,"Nhà bi?t th?, li?n k?",3,4,5,Có s?,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-hoang-quoc-viet-phuong-phu-my-9-prj-khu-dan-cu-phu-my/chinh-chu-can-ban-pho-van-phat-hung-dt-6x21m-tret-lung-2-lau-st-gia-21-4-ty-pr38526845,Ðu?ng Hoàng Qu?c Vi?t,Phu?ng Phú M?,Qu?n 7,H? Chí Minh
21000,200,"Nhà bi?t th?, li?n k?",3,4,4,,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-long-thanh-my-prj-vinhomes-grand-park/quy-can-dep-nhat-gia-tot-nhat-t4-2022-htls-2023-lh-0898800822-pr33142814,D? án Vinhomes Grand Park,Phu?ng Long Th?nh M?,Qu?n 9,H? Chí Minh.
21000,200,"Nhà bi?t th?, li?n k?",2,6,4,Vinh vi?n.,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-long-thanh-my-prj-vinhomes-grand-park/p-tu-khoa-de-tim-theo-cum-tu-dat-bantim-kiem-gio-hang-100-can-pho-ong-mai-s-pr26279737,D? án Vinhomes Grand Park,Phu?ng Long Th?nh M?,Qu?n 9,H? Chí Minh
22000,74,Nhà m?t ph?,4,0,4,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-nha-mat-pho-duong-vo-thi-sau-phuong-tan-dinh-2/ong-toi-can-ban-gap-tien-q1-dt-4-x-18m-74m2-4t-vuong-vuc-gia-22-ty-tl-pr39027166,Ðu?ng Võ Th? Sáu,Phu?ng Tân Ð?nh,Qu?n 1,H? Chí Minh
22000,100,"Shophouse, nhà ph? thuong m?i",4,7,7,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-duong-nguyen-quy-canh-phuong-an-phu/c-b-gap-100m2-du-khh-gia-sieu-re-pr39027662,Ðu?ng Nguy?n Quý C?nh,Phu?ng An Phú,Qu?n 2,H? Chí Minh
22500,92,Nhà m?t ph?,5,0,0,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-van-thuong-phuong-25/ban-gap-tien-ngay-pearl-plaza-dien-tich-5x20m-4-tang-gia-22-5-ty-pr39019363,Ðu?ng Nguy?n Van Thuong,Phu?ng 25,Bình Th?nh,H? Chí Minh
22500,153,Nhà riêng,4,4,5,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-nha-rieng-duong-pham-huu-lau-xa-phuoc-kieng/ban-biet-thu-bo-cong-an-9x17-moi-co-thang-may-khong-gian-an-ninh-yen-tinh-pr38890632,Ðu?ng Ph?m H?u L?u,Xã Phu?c Ki?n,Nhà Bè,H? Chí Minh
22500,67,Nhà m?t ph?,0,0,0,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-nha-mat-pho-duong-dinh-tien-hoang-phuong-da-kao/25-ty-p-dakao-q-1-can-ban-pr37963285,Ðu?ng Ðinh Tiên Hoàng,Phu?ng Ða Kao,Qu?n 1,H? Chí Minh
23000,200,"Shophouse, nhà ph? thuong m?i",4,0,0,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-duong-xa-lo-ha-noi-phuong-an-phu-prj-lumiere-riverside/can-ban-shophose-thao-dien-quan-2-so-huu-vinh-vien-von-chi-10-ty-pr38921995,Ðu?ng Xa L? Hà N?i,Phu?ng An Phú,Qu?n 2,H? Chí Minh
24000,100,"Shophouse, nhà ph? thuong m?i",4,5,0,Ðang ch? s?,https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-duong-phan-van-tri-phuong-10-8-prj-cityland-park-hills/-mat-tien-nguyen-luong-gia-tot-24-ty-pr39026411,,D? án CityLand Park Hills,Qu?n Gò V?p,H? Chí Minh
26000,280,Nhà m?t ph?,0,0,0,S? chính ch?,https://batdongsan.com.vn/ban-nha-mat-pho-duong-17-4-phuong-tam-phu/chinh-chu-ban-tien-thu-duc-vi-tri-sieu-dep-dong-tien-45tr-th-pr38859825,Ðu?ng 17,Phu?ng Tam Phú,Th? Ð?c,H? Chí Minh
27000,250,"Nhà bi?t th?, li?n k?",3,4,5,H?p d?ng mua bán,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-huu-tho-xa-phuoc-kieng-prj-zeitgeist-city/gs-suat-dau-tu-vip-noi-bo-ky-hdmb-10-va-thanh-toan-dai-trong-2-nam-gia-cdt-pr39027260,,D? án Zeitgeist City,Huy?n Nhà Bè,H? Chí Minh
27500,65,Nhà m?t ph?,4,0,0,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-nha-mat-pho-duong-le-thi-rieng-phuong-ben-thanh/ban-tien-quan-1-dt-4-3x15-4-tang-gia-chi-27-5-ty-pr39021285,Ðu?ng Lê Th? Riêng,Phu?ng B?n Thành,Qu?n 1,H? Chí Minh
27900,72,Nhà m?t ph?,3,3,3,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-nha-mat-pho-duong-co-bac-phuong-cau-ong-lanh/ban-gap-mt-quan-1-4x18m-gia-re-hon-tien-quan-5-10-hoi-duy-t-voi-can-nay-pr38881123,Ðu?ng Cô B?c,Phu?ng C?u Ông Lãnh,Qu?n 1,H? Chí Minh
30300,160,Nhà m?t ph?,4,4,4,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-nha-mat-pho-duong-duong-duc-hien-phuong-tay-thanh/chinh-chu-vay-ngan-hang-can-ban-gap-mt-quan-tan-phu-7-5x24m-gia-cuc-re-pr38485371,Ðu?ng Duong Ð?c Hi?n,Phu?ng Tây Th?nh,Tân Phú,H? Chí Minh
32500,126,Nhà m?t ph?,6,0,0,,https://batdongsan.com.vn/ban-nha-mat-pho-duong-hau-giang-phuong-4-20/ban-gap-tien-4-quan-tan-binh-7mx18m-xay-ham-5-lau-pr39020021,Ðu?ng H?u Giang,Phu?ng 4,Tân Bình,H? Chí Minh
33000,200,"Nhà bi?t th?, li?n k?",3,0,0,S? d?,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-long-thanh-my-prj-vinhomes-grand-park/ban-song-lap-q9-dt-200m2-huong-dong-nam-gia-34-ty-pr36310905,D? án Vinhomes Grand Park,Phu?ng Long Th?nh M?,Qu?n 9,H? Chí Minh
35000,330.7,"Nhà bi?t th?, li?n k?",4,6,4,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-pham-hung-xa-binh-hung-1-prj-dai-phuc-green-villas/ban-330-7m-cao-cap-mat-tien-chinh-22m-doi-dien-cong-vien-kdc-hung-pr37697240,Ðu?ng Ph?m Hùng,Xã Bình Hung,Bình Chánh,H? Chí Minh
35000,105.8,Nhà riêng,5,7,9,,https://batdongsan.com.vn/ban-nha-rieng-duong-bach-dang-phuong-24/ban-mat-tien-binh-thanh-pr37421754,Ðu?ng B?ch Ð?ng,Phu?ng 24,Bình Th?nh,H? Chí Minh
